Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
10811,0.367457,-0.104662,0.65789,-0.924932,-1.883859,-0.421106,-0.022897,0.290108,0.112252,0.721936,-1.940641,-0.343703,-0.693708,0.022014,-3.122994,1.010394,0.529322,0.780713,-0.637243,-0.497534,0.527502,-3.48803,-0.80301,1.027994,-0.738123,-0.287764,-0.670042,-2.285062,18.12,0
117795,-3.828837,3.581366,-6.391633,4.727126,-4.796857,-4.128482,-4.394175,0.666686,0.359728,-4.026033,2.077218,-5.655697,-1.150595,-6.979,-0.451152,-5.09996,-7.891151,-2.983629,-0.325828,0.582836,-0.348694,0.911425,0.033369,0.03791,-0.595924,-0.369913,-0.463992,-0.825117,56.49,1
131297,0.461358,2.384389,0.450849,-0.33595,-1.857055,0.106972,-2.278429,0.663282,-0.012519,2.441718,0.379147,-0.298902,1.800182,1.080668,3.180789,1.527096,0.137815,0.041778,-1.197942,0.375511,-0.31354,-2.020717,0.041708,0.26729,-2.145164,-1.357676,-2.540452,-0.777763,59.86,0
152397,-0.590666,-0.437594,0.731784,1.095022,1.811559,3.288527,0.387578,1.518199,0.032029,-3.19965,2.120938,0.866219,2.198897,1.042246,-0.493653,0.712009,-0.184728,1.390761,1.454011,-1.913064,-1.838757,0.403649,0.249867,1.862457,-1.813687,-0.824669,2.27703,0.745234,100.77,0
131851,-4.843596,4.090951,-7.355161,3.689945,-2.901285,-1.319489,-6.433536,0.815052,1.680615,-4.270118,4.10815,-6.669549,-1.370869,-8.451532,0.838769,-4.258498,-6.991568,-3.755354,-0.282234,-0.413543,0.244844,-3.133682,1.249776,0.509161,-0.882077,0.055704,-0.327676,-1.187264,61.15,1
41523,1.349458,1.267771,-1.047133,-0.054835,-1.060613,-1.647958,0.826505,0.098696,-0.519377,-0.012265,-3.143655,0.943887,-0.178885,1.076925,1.884735,-0.456156,-0.483777,-0.309094,0.869794,0.116646,0.839568,-1.773918,-1.339478,1.070681,-1.952752,-0.001402,-2.866491,0.768544,4.65,0
85841,-1.68001,-0.629342,2.757027,0.090865,-1.045346,0.840566,-1.455076,1.565996,-1.090324,1.536979,-1.957869,0.246165,1.56965,0.671435,1.324972,0.39605,-0.490613,0.335159,0.51697,0.412207,-0.294723,-1.963003,0.232477,0.284561,-2.7391,-0.437069,-0.646923,-1.191576,25.6,0
99617,-5.555628,3.405987,-6.772163,2.466357,-4.261434,-3.439063,-5.051335,-1.381736,0.646663,-3.745272,5.004193,-4.466732,1.105369,-7.572116,1.400113,-3.949391,-7.895282,-3.402032,-1.580808,0.584922,-0.266975,0.882635,1.395053,0.203904,-0.510727,0.344729,-0.986461,-0.046024,49.72,1
91400,1.38883,-1.100741,-1.660536,0.410169,2.067114,0.886059,-0.039393,-0.262928,-0.549415,-1.179549,0.591564,1.295056,0.668082,-0.203969,1.369247,-1.39783,1.922634,2.313163,3.639207,-0.311892,1.156544,0.315883,1.217228,-1.647961,0.621849,0.53796,1.555026,-3.754102,179.93,0
91895,-2.959284,4.871074,-6.489283,3.060854,-5.023197,-2.608355,-4.16751,-2.130619,0.576083,-3.883387,3.378603,-6.024809,1.472813,-7.327446,-1.121824,-4.715757,-6.79769,-2.797022,-0.427824,1.360872,0.161341,-0.690473,0.879554,0.55192,-0.34285,0.325359,1.598799,-0.592244,26.83,1
36125,0.211218,-0.214837,-0.425141,1.220368,-1.081082,1.16138,-0.770272,-1.735682,0.927274,-0.894829,-1.791793,1.294919,-1.000176,-0.282563,1.815226,-1.258834,-0.05749,4.357829,0.820944,-0.744868,-0.650335,-0.015975,-1.592914,0.852965,2.919015,0.977934,2.346137,1.786106,232.4,0
154325,1.801648,1.40163,-1.602684,0.963172,0.552696,2.232725,0.121215,3.153783,-1.487151,1.348871,-2.212285,0.464486,-0.755647,-1.139403,3.612324,0.368752,0.039208,2.064205,0.040991,-0.965554,1.138486,-2.026282,-0.394193,0.85981,-0.607941,-1.402202,-1.705899,-0.510613,79.69,0
121903,0.628355,1.593833,-0.164747,0.095692,-1.700072,0.220431,-0.053624,-0.062783,-0.077329,0.70521,0.151214,0.828846,1.172049,1.87739,-2.443466,0.221594,0.176818,-4.237349,-0.29525,0.699932,-0.692115,0.821993,-1.578445,-0.640868,0.395635,0.575125,0.475148,-0.04983,90.16,0
166016,3.206446,-0.371752,0.289645,0.416715,1.668773,-2.722618,-0.203017,-0.880213,0.232237,-0.512003,1.417353,-0.232368,0.59699,-0.69762,-2.243756,0.728626,-0.742604,2.145816,2.068963,0.408784,-0.36087,1.001971,3.45489,-1.662899,-0.653064,0.051073,-0.016382,2.713434,170.65,0
6338,-1.330409,0.451624,2.096328,0.43444,0.606692,-0.251554,0.052391,-1.377091,0.565279,-1.322279,-0.336703,-0.217191,1.202511,2.470009,2.071149,-0.493826,-0.297335,0.863585,-0.565746,0.820532,-0.007798,0.179327,-0.047062,-1.945781,-2.675178,-0.222371,-3.145484,2.980898,112.1,0
49191,0.833503,0.407822,-0.659287,0.11752,-0.628267,3.516847,-0.686795,2.726919,1.221389,-0.553963,0.134408,0.664667,3.604338,-0.115704,-0.49608,0.705139,-0.211282,-2.760702,-1.406842,0.572894,1.997237,-2.643716,1.664563,-0.944607,-0.720697,0.426789,0.843542,1.329873,7.0,0
85620,0.545515,0.216978,-0.353391,1.01645,2.564127,1.952251,0.379085,2.809262,-0.298055,-1.084922,0.879151,0.798298,0.113038,1.599858,1.764733,0.366918,1.204336,-1.256612,0.769767,-0.392961,-2.824618,-1.025608,-0.479574,-0.319321,-1.478383,0.134526,1.107672,1.684257,777.37,0
91522,1.176097,-0.318371,-0.900346,-0.102801,2.504353,-1.15927,-0.35294,-1.398696,1.206941,-1.519668,0.656534,-0.471425,1.851326,-0.811173,2.713112,-1.763024,1.106571,-2.645479,0.585959,1.124826,-1.178677,-0.994281,-2.597597,0.109814,-0.991976,1.597911,-0.423421,0.039363,43.75,0
155935,0.064055,0.606428,-1.605846,0.209609,0.908495,2.869175,-0.671281,-0.496066,-0.301852,-1.470931,-1.292007,-1.830358,3.053146,-0.463112,2.37118,-1.015788,-0.444918,-0.92679,2.817814,1.942031,3.965739,-1.789773,-2.367497,-0.524839,-3.160568,0.02448,-0.338306,1.929652,9.68,0
61619,1.067238,-0.111489,-1.027847,0.395534,2.988069,1.178327,-1.178433,-2.08375,0.596086,-0.918193,1.235087,0.346723,1.118084,0.366477,1.340204,0.541228,0.275413,-1.412673,1.095689,-0.14801,-0.56441,-1.832168,2.284196,0.609554,2.007374,-1.024533,-0.065338,1.423168,37.86,0
103188,-1.009084,-1.421654,-0.200848,0.465233,2.600288,1.263929,-0.143974,-1.75651,-1.373071,-3.685375,-1.420316,2.025881,0.527453,0.523658,0.335288,0.510051,0.839842,-1.125754,0.475865,-0.475422,0.479519,0.070887,-2.252285,-0.718685,1.773641,-1.592508,0.542117,-1.825962,95.73,0
4859,-0.17458,0.076458,0.701627,-1.003457,1.291226,0.40249,-0.985799,-1.07548,0.495882,-0.025588,0.330313,1.386547,-0.526996,0.422737,-2.713494,0.238113,-0.222671,-1.092728,-1.248545,1.818787,0.447523,-0.529606,-0.847878,-0.823322,-1.072821,1.083199,0.952105,3.728989,21.72,0
73299,-0.28666,-2.197603,-0.706364,-0.241543,-0.37837,0.893109,-1.072926,-0.684029,-0.350716,1.90589,-0.673676,0.011122,-0.354522,0.199085,-0.253278,1.473903,-0.175616,1.166773,-0.72443,0.477131,-4.513522,0.817784,1.082073,-0.065343,-1.595212,0.095833,-0.301825,-0.400447,10.65,0
122566,-0.278092,-0.562148,-0.300154,0.497563,-0.58962,-1.715046,1.356822,1.614529,-0.100693,1.542739,-1.719321,-0.681335,1.057686,2.121492,3.337795,2.748482,0.070658,0.803634,-1.554372,-0.233521,0.364941,1.142952,0.605289,-1.267108,1.059837,-1.086353,0.497424,0.739594,12.38,0
102569,-1.735852,1.366341,1.195862,0.192593,-0.391895,-0.233167,0.064999,-1.266726,0.843713,1.011497,0.628574,-0.361475,-0.050288,-0.772036,0.951412,-1.726186,0.525328,-1.991097,0.408008,-1.109938,-1.450608,-1.441241,2.016779,0.885047,-1.836483,-1.448919,-0.602258,2.551135,52.05,0
903,-0.77028,-0.561421,-0.217976,1.033718,-0.76635,1.748061,-1.012982,0.149532,-2.335864,-0.572055,-2.406659,-0.362962,1.36394,0.421649,-0.482865,0.634697,0.470447,1.271396,3.519566,-0.390676,0.5552,-0.292366,1.774486,0.685287,-2.358869,-0.965309,-0.8983,1.265624,2.45,0
156736,1.441974,0.562287,1.959997,-0.19277,-2.343004,-0.39016,-0.039735,2.193389,0.856522,0.45201,3.209388,-0.977722,0.10128,1.301772,0.75073,0.540875,2.168336,1.041858,2.187688,0.830812,0.159817,-0.590488,1.872277,-0.832402,-1.340753,-0.078885,-2.388313,1.294161,40.29,0
27779,2.3952,2.200882,-0.69124,-1.4843,-1.016862,0.073008,-0.878478,-3.975242,0.273987,-1.011428,2.337619,-0.516275,2.153401,2.2549,0.800622,-0.353999,-0.541423,1.16173,-0.763918,-0.593724,-1.340747,-1.581886,1.24927,-0.30797,0.42766,0.059283,-1.214636,1.300572,12.92,0
72848,-4.695655,4.33271,-5.3985,3.156778,-4.528948,-1.34479,-6.38472,-1.570945,0.366531,-4.20281,2.401807,-5.929311,-2.971767,-6.665486,1.447341,-4.015093,-9.394523,-0.413378,-0.889357,0.493054,0.201003,-2.400819,1.614321,-0.485587,-1.395509,1.570321,0.060473,-0.267707,150.43,1
951,-0.870392,1.595725,2.433559,-0.347195,-1.148878,-2.054619,-1.784397,-0.02579,-0.167099,-0.716681,-0.679905,0.840654,-3.545118,-0.765789,3.767017,-1.199413,-0.099851,-1.664245,3.030418,-0.741294,-2.440347,-0.517556,-0.213434,-0.02732,-0.758313,0.202021,-2.454005,0.691415,6.44,0
88947,0.992327,0.333904,0.024305,1.620807,-3.977684,1.584641,-0.687005,-3.576383,1.102676,-3.058376,2.088431,0.656991,2.646682,2.660431,3.310924,0.176222,0.766475,2.609139,1.424162,0.699722,0.368732,-2.417409,-0.502674,-1.450898,-2.612937,1.644197,1.688568,-1.16315,18.7,0
64188,0.534235,1.233354,0.634295,-0.777251,1.257343,0.840882,-1.791254,-0.192063,-0.19333,0.382038,-2.475128,-2.752045,0.970038,0.570177,1.025572,0.17402,0.212104,-2.204497,2.139152,-0.141103,-1.849053,-3.48626,-0.135691,0.344548,-0.136792,1.111355,-1.791133,-0.460285,45.97,0
32216,0.203889,1.093771,1.35738,0.726988,1.463045,3.667185,-0.373104,0.943495,0.694562,2.521924,-1.259564,0.145517,1.120801,-0.729722,1.960821,0.33533,1.536692,-0.835166,0.429549,1.21187,-0.47536,0.351996,0.389822,-1.134152,-0.874295,-1.048588,0.191237,-0.465441,15.49,0
42501,1.155625,1.486567,-2.332468,-0.062099,-2.629612,4.2495,-1.29008,-3.88503,-0.161708,0.400967,0.098045,-1.04205,1.008234,2.015972,-0.699953,-2.670727,-0.36724,-0.13931,-1.417317,-1.519652,-0.455297,0.594734,-0.004387,-0.305575,-1.25498,0.326999,0.155375,0.814198,29.93,0
68954,0.818103,1.231988,-0.26961,-0.180406,-0.922065,-0.155346,-0.356641,0.81898,1.109483,-1.890542,-0.41357,-0.527774,-0.40176,0.361645,0.943516,-0.617754,1.956218,1.816074,0.424435,-0.859782,0.189164,0.165541,0.536972,-1.195146,-1.602617,-0.383345,-0.859066,1.176573,6.13,0
155000,0.568462,0.579173,1.460971,1.165625,0.901873,-2.408674,-1.11987,-0.00929,-0.74011,-2.270594,0.961879,-1.615493,1.518937,0.30183,0.279665,1.557865,0.60938,0.666109,0.55072,0.542108,1.791191,-1.563568,-0.438272,-0.763298,-0.11917,-0.364825,-2.678573,0.847949,99.2,0
92371,-1.166664,0.285148,0.797601,0.193637,-1.072945,3.553892,0.368256,-1.398523,0.27939,-1.9001,0.071002,-1.158142,0.564688,-0.735249,-2.162688,1.650581,0.07813,2.987837,-1.259546,0.666987,-0.311199,0.289938,-2.366202,-0.480802,0.568361,0.777134,1.595438,0.017775,43.66,0
151887,1.534499,0.410479,-0.489279,-0.728662,0.703997,1.193614,-0.453921,0.738394,0.138774,2.167602,-0.27152,2.636327,1.130431,-0.339372,0.299926,0.835643,0.444858,-0.623548,-0.706767,1.826657,-1.613737,-1.426239,1.612709,-1.90108,-0.788381,-0.290262,0.253677,2.533458,45.47,0
56074,-0.795531,0.330109,-0.993253,0.903558,-0.017919,1.278886,0.299728,0.247369,0.237256,-1.750824,-1.149492,-0.325438,-0.020887,0.131974,0.404242,2.707622,0.84344,-2.871864,-1.310531,-0.187851,0.613873,0.847529,2.147304,-0.828032,1.99653,-0.551904,-1.07741,0.48568,17.53,0
148491,1.022977,-0.634025,1.408562,-0.250872,1.347415,-0.497731,-0.744171,-0.249058,-0.93535,-1.249108,-3.205148,0.804704,-1.029015,1.263889,-0.540579,0.731397,-0.002841,4.089893,2.430408,0.258546,3.071321,0.16754,-3.090562,-1.303967,-1.2654,0.063482,0.84307,-0.606666,34.26,0
56196,2.402742,2.304397,1.623844,-0.147345,-5.134037,1.616757,1.84526,1.249459,0.203466,-0.690338,0.07031,1.943888,0.156906,0.770639,-0.243286,2.220928,1.099814,-0.494354,-0.954108,-0.21074,-0.255557,0.71719,0.672804,0.422836,0.077355,-0.78218,-0.427738,1.081244,3.77,0
106141,-5.089378,4.07077,-6.270124,4.138443,-1.911505,-1.808815,-3.953008,-0.366718,1.273448,-4.833165,5.983436,-5.707633,-1.065104,-7.274574,0.282975,-4.254412,-9.63709,-4.425507,-1.219409,1.494576,-0.130723,-1.828037,0.529546,0.614346,-1.851313,-0.134191,-0.322955,-1.035465,24.18,1
46784,-0.816674,2.16673,0.313883,-0.984573,-1.125943,-4.323896,-0.249226,-2.054559,-0.390989,2.81196,-1.422685,-0.881302,0.368972,1.30928,-3.293028,-1.211921,-0.550639,2.121295,-1.121598,-0.686176,1.149289,-2.648859,-0.672183,-0.742455,2.260575,-0.723506,0.711766,0.835357,43.71,0
47516,-0.348848,0.163564,1.268741,0.006179,-3.643812,-2.05011,-1.559225,0.087469,0.364745,-0.045965,-0.136611,0.60948,2.611132,-1.64668,0.254787,0.519745,0.884536,0.696787,-4.313242,1.578097,3.157006,-2.450468,2.376356,-0.705441,1.095359,-1.999938,0.267925,-1.156422,3.35,0
21773,1.272599,1.883371,1.216158,-0.802075,0.006066,-1.782762,1.200255,0.393458,-0.561958,0.151313,-1.946268,-0.655323,-0.661524,0.756311,1.818154,-0.6513,0.252902,2.263912,-1.497027,0.571132,-0.445127,-0.428258,-2.861333,1.858473,0.209719,-0.046322,-1.199489,-0.044509,129.97,0
149016,0.828614,-2.076262,-1.897154,0.72071,-1.204952,-1.837902,1.135455,-1.360274,-0.449021,0.866334,-0.855806,0.027362,-0.199726,-0.8827,-0.273811,-0.657671,0.87535,0.542002,1.313244,-0.902999,0.906834,3.539856,0.518381,1.093222,-3.643862,1.357941,0.249114,2.128505,54.97,0
112352,2.018595,1.596192,1.009946,-0.605187,1.022854,0.421201,-2.658882,-0.204087,-1.245763,0.320542,1.212295,0.432246,1.206388,-1.299804,-0.625719,-1.361896,1.28725,-1.191684,-0.03227,3.240456,-1.788416,0.917726,-0.016144,1.119914,-1.546662,0.580029,1.037325,-1.089601,84.21,0
2091,1.395499,1.284906,1.575203,0.781638,-1.787996,-0.095867,-0.171761,-4.376499,-0.027614,0.184126,-0.016212,2.285192,0.989771,-0.391067,-1.238541,-1.597764,-0.423574,-2.664974,1.340151,0.394545,1.600649,-1.131056,-1.101545,0.760695,-2.787774,-0.32504,-3.249952,1.468482,8.31,0
23725,1.955384,1.385513,2.666918,0.362094,-0.022694,-0.373846,1.424056,-0.4932,0.707322,-0.296589,0.045586,-1.214555,-0.28593,-0.136315,-1.611309,0.435589,1.072999,-0.307598,-1.791959,0.616011,1.592326,-0.14891,-1.471684,0.675525,-1.275929,0.023899,-1.358507,-0.546066,51.66,0
153202,1.03052,-1.332973,0.893762,0.073831,-2.724652,-2.299232,-0.025573,0.045967,-0.432642,1.483462,1.310412,2.228944,2.347729,-0.587258,-0.080851,-1.672653,0.206227,0.502869,3.758003,-0.609475,-1.211605,1.004197,-1.455892,0.171491,0.619997,1.465399,0.067603,0.572632,32.89,0
50666,1.503879,0.81271,2.148274,-0.6713,-0.878343,2.679115,-1.125116,0.908487,0.408006,-3.701637,-0.382744,-2.077895,1.201236,0.987731,-0.773476,-0.868006,2.024422,1.728753,-1.364439,-0.421042,1.321244,3.309774,-1.161443,0.810311,-2.276966,-1.17561,-0.690365,0.016249,9.67,0
84491,-3.30909,5.487745,-5.642146,2.904289,-2.696706,-5.384788,-5.219866,-0.240196,-0.737157,-5.310968,5.389883,-5.167576,0.188301,-6.659336,-0.49962,-3.494641,-6.295067,-2.696314,-0.824044,1.285733,-1.904614,-0.660816,1.405552,0.162993,0.247098,-0.020602,0.460579,-1.759329,50.45,1
115174,-0.296388,0.68934,0.587827,0.261017,-0.20148,-0.952981,-0.631788,1.471577,-0.068724,0.351457,-1.461187,0.898232,-0.020641,1.202866,0.326265,-2.612414,-0.046388,-2.264464,-1.365554,-2.064593,-1.529383,-0.734262,0.912649,-0.85477,-0.750948,1.584765,-1.820239,1.4984,100.78,0
53099,-0.86235,-1.489557,-0.851203,0.82258,1.04494,3.717335,0.917518,-1.074291,0.253108,-1.354848,-0.71309,-0.533048,-0.780196,1.28604,-0.224347,-0.247505,0.045258,3.995534,2.370518,-0.852253,-0.81665,-2.139082,1.194814,-0.51854,-3.265639,1.175977,1.575021,0.701001,15.12,0
98630,-0.040731,-0.159063,1.268513,-0.020123,1.280726,-2.15295,0.122396,1.607089,1.895283,-0.738831,1.133879,-0.293945,0.203295,-1.241522,-1.797724,-0.081488,-0.31052,-3.815361,-3.265772,0.734392,-1.693163,1.993403,-1.449918,0.073282,-3.982843,0.000635,-0.095796,-0.468726,11.02,0
14428,0.08747,0.864056,0.466987,0.3083,2.691138,0.739815,-0.189031,-1.219776,-0.40344,-0.905025,-2.05738,0.342976,-1.24447,2.995042,1.572997,-0.273205,1.001359,-0.702869,0.227326,2.045438,0.079422,1.148354,1.551843,0.323101,0.645178,0.282251,-0.385274,-1.440298,37.54,0
66265,-0.241455,-0.285267,0.279568,-0.557822,1.178716,-1.532623,-0.913987,-0.207988,0.030398,0.74449,-0.928398,-0.678499,-1.208549,0.672701,0.12837,0.45283,1.51404,-1.723473,1.445675,-0.550496,1.264729,-2.379218,5.080433,0.433561,0.704357,-1.47919,1.464255,-1.031323,11.41,0
53504,-0.122382,1.325988,-1.261651,-1.541523,-1.478244,0.572636,1.231408,-4.618925,-0.819528,0.483704,-1.100914,1.614793,0.968581,0.80015,0.900983,1.400073,0.493665,-0.587451,1.967642,-0.203072,1.832295,-2.155294,1.005003,0.874612,-2.494814,-0.932898,-1.072819,1.953618,4.53,0
54149,4.067684,0.298022,0.451749,-1.256866,-1.850394,-0.281676,-1.000253,-1.32161,-0.031669,0.014208,0.318901,-1.328311,-0.119017,-0.250619,-2.163355,0.558518,-0.125273,-3.309985,-3.439682,-0.422176,-1.079395,-0.238265,0.193612,0.768337,0.882655,-1.612135,-0.273659,0.005264,63.72,0
152930,0.343531,-1.676123,1.985738,0.563247,-0.679728,-0.665253,-0.163232,-1.78443,1.127472,0.721188,0.217911,-0.168299,1.287429,0.430007,-1.748452,-1.671844,-0.05166,-4.79539,-0.60881,2.120041,-2.036416,-1.906337,-2.119155,-3.509422,1.034819,-0.438039,-0.830407,0.467475,34.54,0
17604,1.359353,2.414948,-0.840678,-0.819586,0.899645,1.325977,-1.755577,-2.906188,-0.599999,0.988561,-2.467661,-0.161575,-0.878826,0.351435,2.253743,0.355146,0.78649,1.011158,0.677758,-0.613828,2.400757,-0.853404,2.537387,-0.751525,1.931059,2.308809,-2.067893,1.487821,34.13,0
123753,0.87943,1.608337,0.226428,1.098041,0.993056,1.263162,1.120933,-0.043006,-0.670689,3.330663,-2.082165,0.86053,-0.063516,1.49391,-0.26616,-0.988374,0.060792,2.662411,1.126769,2.025276,-0.438773,-0.444288,1.56049,-1.155516,-0.772375,-1.208857,0.364282,1.274264,34.06,0
161145,-1.019093,-1.56777,-1.330675,-0.044541,-3.245436,0.220941,-0.617766,-0.433058,0.103515,3.272455,0.980507,0.14277,0.633456,-0.389072,1.302569,0.052541,1.141579,-0.977735,-0.195572,0.93893,-0.653058,-0.315737,1.033727,0.22991,-1.005925,-0.209286,-0.856833,0.584853,9.24,0
37076,-0.129523,0.634186,0.589917,-0.400815,-1.299942,-0.366224,0.006761,-0.572771,-0.878873,-1.477303,-0.44861,-2.065017,-1.704343,1.059889,0.919373,-1.693799,0.411805,0.522296,1.422307,0.682804,-1.229839,-0.878468,0.478841,-0.706322,-1.066856,0.132322,-0.770297,0.207093,7.73,0
169702,-2.036575,2.214667,-0.168899,0.976929,-1.793148,1.990511,-0.547982,-2.363939,0.849669,-0.217959,0.328748,1.214377,0.738266,0.661271,2.092813,1.482823,-0.252677,-1.622539,1.775445,0.290771,-0.060851,0.281172,0.714225,-3.064724,-1.335084,-0.820887,-0.925097,-1.086124,41.16,0
17207,1.21991,-1.476145,1.0978,-0.482122,-1.711485,1.982187,-0.529365,0.671791,-0.652686,0.433771,-1.309456,-0.329358,-2.932841,-0.854802,-2.986527,1.485936,-1.015693,-1.53194,0.134929,1.200377,0.711744,-2.336162,-0.109134,1.002633,-1.401758,-0.505531,-1.707658,0.926622,234.6,0
99236,1.142621,2.611093,-1.559786,0.438496,-0.634799,-3.366611,0.374413,0.994909,-1.321574,-1.551749,0.893618,-0.752986,0.17116,2.442276,2.532077,1.53529,0.980924,-0.490143,-1.329575,-0.352935,0.121683,-1.176605,2.543408,-1.533227,2.425661,1.585473,-0.552693,1.888225,210.31,0
71166,1.053689,1.817027,-0.061332,-0.602417,-0.573218,1.166138,-1.458884,1.120137,0.780691,0.005953,-1.54442,1.423174,-0.908541,1.343132,4.528674,2.247349,-0.591916,0.491443,0.130819,0.646398,1.408158,-1.519791,-2.557794,-0.294906,-3.287753,-0.022956,0.430917,-1.853626,86.07,0
